Coach,Team,Total_ATOs,Success_Rate,Avg_Points,Turnover_Rate,Three_Point_Rate
Georgios Bartzokas,OLY,112,0.48214285714285715,0.9910714285714286,0.09821428571428571,0.33035714285714285
Ettore Messina,MIL,89,0.47191011235955055,0.9550561797752809,0.1348314606741573,0.39325842696629215
Ergin Ataman,PAN,80,0.4625,1.0375,0.1,0.4875
Ioannis Sfairopoulos,RED,149,0.42953020134228187,0.9328859060402684,0.174496644295302,0.30201342281879195
Tiago Splitter,PAR,134,0.41044776119402987,0.8582089552238806,0.14925373134328357,0.3358208955223881
Andrea Trinchieri,ZAL,152,0.40789473684210525,0.7960526315789473,0.16447368421052633,0.3157894736842105
Tomislav Mijatovic,IST,134,0.40298507462686567,0.8059701492537313,0.20149253731343283,0.291044776119403
Joan Penarroya,BAR,130,0.4,0.7307692307692307,0.16923076923076924,0.26153846153846155
Oded Kattash,TEL,115,0.4,0.808695652173913,0.19130434782608696,0.22608695652173913
Sasa Obradovic,MCO,147,0.3945578231292517,0.7414965986394558,0.1360544217687075,0.3129251700680272
Gordon Herbert,MUN,138,0.38405797101449274,0.8623188405797102,0.21014492753623187,0.39855072463768115
Chus Mateo,MAD,133,0.38345864661654133,0.7518796992481203,0.15789473684210525,0.2932330827067669
Pablo Laso,BAS,120,0.38333333333333336,0.7416666666666667,0.16666666666666666,0.2833333333333333
Pierric Poupet,ASV,84,0.38095238095238093,0.8214285714285714,0.13095238095238096,0.4523809523809524
Israel Gonzalez,BER,87,0.367816091954023,0.8160919540229885,0.19540229885057472,0.40229885057471265
Zeljko Obradovic,PRS,108,0.3611111111111111,0.7685185185185185,0.12037037037037036,0.32407407407407407
Saras Jasikevicius,ULK,145,0.35172413793103446,0.7862068965517242,0.12413793103448276,0.3931034482758621
Luca Banchi,VIR,128,0.296875,0.5625,0.1875,0.3359375
